location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-06-13,2020-06-13,66543.66762039656,NA
US,1 wk ahead inc case,2020-06-14,2020-06-13,69606.08426726094,NA
US,1 wk ahead inc case,2020-06-15,2020-06-13,72721.02572527247,NA
US,1 wk ahead inc case,2020-06-16,2020-06-13,75879.03382382267,NA
US,1 wk ahead inc case,2020-06-17,2020-06-13,79069.49907346738,NA
US,1 wk ahead inc case,2020-06-18,2020-06-13,82280.66037071763,NA
US,1 wk ahead inc case,2020-06-19,2020-06-13,85499.62529279929,NA
