location,target,target_end_date,forecast_date,point,quantile
US,1 wk ahead inc case,2020-07-14,2020-07-14,83357.04469382616,NA
US,1 wk ahead inc case,2020-07-15,2020-07-14,85605.0538891131,NA
US,1 wk ahead inc case,2020-07-16,2020-07-14,87813.70988888074,NA
US,1 wk ahead inc case,2020-07-17,2020-07-14,89974.32625036711,NA
US,1 wk ahead inc case,2020-07-18,2020-07-14,92078.04172264533,NA
US,1 wk ahead inc case,2020-07-19,2020-07-14,94115.88339180104,NA
US,1 wk ahead inc case,2020-07-20,2020-07-14,96078.83543984419,NA
